WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
bn3c_branch2c_2/gamma:0                            (512,)           -0.0409        +1.8960      +0.3768   
bn3c_branch2c_2/beta:0                             (512,)           -1.5428        +0.8270      +0.3608   
bn3c_branch2c_2/moving_mean:0                      (512,)           -0.8480        +0.7275      +0.1809   
bn3c_branch2c_2/moving_variance:0                  (512,)           +0.0002        +0.1614      +0.0254   
res3d_branch2a_2/kernel:0                     (1, 1, 512, 128)      -0.2583        +0.2893      +0.0306   
res3d_branch2a_2/bias:0                            (128,)           -0.0014        +0.0018      +0.0007   
bn3d_branch2a_2/gamma:0                            (128,)           +0.6395        +1.4617      +0.1923   
bn3d_branch2a_2/beta:0                             (128,)           -2.9768        +0.6138      +0.6397   
bn3d_branch2a_2/moving_mean:0                      (128,)           -3.4373        +2.0843      +0.9585   
bn3d_branch2a_2/moving_variance:0                  (128,)           +0.0032        +3.2415      +0.5276   
res3d_branch2b_2/kernel:0                     (3, 3, 128, 128)      -0.1592        +0.2480      +0.0237   
res3d_branch2b_2/bias:0                            (128,)           -0.0025        +0.0062      +0.0017   
bn3d_branch2b_2/gamma:0                            (128,)           +0.6485        +3.2665      +0.2892   
bn3d_branch2b_2/beta:0                             (128,)           -1.6517        +1.5628      +0.5605   
bn3d_branch2b_2/moving_mean:0                      (128,)           -0.9797        +0.3526      +0.2822   
bn3d_branch2b_2/moving_variance:0                  (128,)           +0.2176        +1.4907      +0.1816   
res3d_branch2c_2/kernel:0                     (1, 1, 128, 512)      -0.2404        +0.3462      +0.0271   
res3d_branch2c_2/bias:0                            (512,)           -0.0042        +0.0048      +0.0015   
bn3d_branch2c_2/gamma:0                            (512,)           -0.0272        +1.9218      +0.5163   
bn3d_branch2c_2/beta:0                             (512,)           -1.0555        +0.9748      +0.2711   
bn3d_branch2c_2/moving_mean:0                      (512,)           -1.1079        +0.4287      +0.2314   
bn3d_branch2c_2/moving_variance:0                  (512,)           +0.0002        +0.3496      +0.0543   
res4a_branch2a_2/kernel:0                     (1, 1, 512, 256)      -0.2763        +0.2629      +0.0150   
res4a_branch2a_2/bias:0                            (256,)           -0.0012        +0.0013      +0.0004   
bn4a_branch2a_2/gamma:0                            (256,)           +0.4785        +1.4612      +0.1493   
bn4a_branch2a_2/beta:0                             (256,)           -1.9415        +1.1200      +0.3882   
bn4a_branch2a_2/moving_mean:0                      (256,)           -3.8936        +1.1756      +0.6395   
bn4a_branch2a_2/moving_variance:0                  (256,)           +0.0515        +2.6553      +0.2808   
res4a_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.1716        +0.1965      +0.0106   
res4a_branch2b_2/bias:0                            (256,)           -0.0033        +0.0037      +0.0007   
bn4a_branch2b_2/gamma:0                            (256,)           +0.4768        +1.5810      +0.1980   
bn4a_branch2b_2/beta:0                             (256,)           -2.5978        +1.1149      +0.4805   
bn4a_branch2b_2/moving_mean:0                      (256,)           -2.7021        +2.6603      +0.5277   
bn4a_branch2b_2/moving_variance:0                  (256,)           +0.1003        +1.1930      +0.1722   
res4a_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.2861        +0.1943      +0.0141   
res4a_branch2c_2/bias:0                           (1024,)           -0.0049        +0.0115      +0.0012   
res4a_branch1_2/kernel:0                     (1, 1, 512, 1024)      -0.3615        +0.3428      +0.0159   
res4a_branch1_2/bias:0                            (1024,)           -0.0015        +0.0015      +0.0004   
bn4a_branch2c_2/gamma:0                           (1024,)           -0.0104        +2.8173      +0.4544   
bn4a_branch2c_2/beta:0                            (1024,)           -0.5242        +2.0439      +0.2862   
bn4a_branch2c_2/moving_mean:0                     (1024,)           -0.4020        +0.2339      +0.0729   
bn4a_branch2c_2/moving_variance:0                 (1024,)           +0.0000        +0.1119      +0.0107   
bn4a_branch1_2/gamma:0                            (1024,)           +0.1723        +3.9846      +0.7125   
bn4a_branch1_2/beta:0                             (1024,)           -0.5242        +2.0441      +0.2862   
bn4a_branch1_2/moving_mean:0                      (1024,)           -4.9091        +2.9439      +0.7998   
bn4a_branch1_2/moving_variance:0                  (1024,)           +0.0413        +6.4599      +0.5613   
res4b_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1251        +0.1742      +0.0082   
res4b_branch2a_2/bias:0                            (256,)           -0.0007        +0.0006      +0.0002   
bn4b_branch2a_2/gamma:0                            (256,)           +0.4161        +1.5930      +0.1866   
bn4b_branch2a_2/beta:0                             (256,)           -2.2049        +2.0415      +0.4853   
bn4b_branch2a_2/moving_mean:0                      (256,)           -3.9798        +2.5647      +0.9971   
bn4b_branch2a_2/moving_variance:0                  (256,)           +0.1146        +9.1091      +1.1798   
res4b_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.0968        +0.1622      +0.0073   
res4b_branch2b_2/bias:0                            (256,)           -0.0022        +0.0018      +0.0006   
bn4b_branch2b_2/gamma:0                            (256,)           +0.4992        +1.4646      +0.1878   
bn4b_branch2b_2/beta:0                             (256,)           -1.6821        +0.5865      +0.4319   
bn4b_branch2b_2/moving_mean:0                      (256,)           -5.5636        +1.5920      +0.8391   
bn4b_branch2b_2/moving_variance:0                  (256,)           +0.0140        +1.2341      +0.1852   
res4b_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.2025        +0.2962      +0.0104   
res4b_branch2c_2/bias:0                           (1024,)           -0.0057        +0.0110      +0.0017   
bn4b_branch2c_2/gamma:0                           (1024,)           -0.0006        +3.1556      +0.3625   
bn4b_branch2c_2/beta:0                            (1024,)           -1.0586        +0.9457      +0.1802   
bn4b_branch2c_2/moving_mean:0                     (1024,)           -0.3958        +0.3607      +0.0831   
bn4b_branch2c_2/moving_variance:0                 (1024,)           +0.0000        +0.1685      +0.0150   
res4c_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1010        +0.1236      +0.0083   
res4c_branch2a_2/bias:0                            (256,)           -0.0006        +0.0006      +0.0002   
bn4c_branch2a_2/gamma:0                            (256,)           +0.5716        +1.7534      +0.1407   
bn4c_branch2a_2/beta:0                             (256,)           -0.9249        +1.3189      +0.3732   
bn4c_branch2a_2/moving_mean:0                      (256,)           -3.9561        +1.9207      +1.0270   
bn4c_branch2a_2/moving_variance:0                  (256,)           +0.2736        +4.1165      +0.5892   
res4c_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.1008        +0.1099      +0.0075   
